timestamp,temperature,vibration,pressure,ml_anomaly,MHI
2025-12-04T20:03:06.623199,43.61,2.38,96.92,1,56.666666666666664
2025-12-04T20:03:09.670449,38.7,2.13,103.77,1,56.666666666666664
2025-12-04T20:03:12.684462,71.6,0.76,108.67,0,86.66666666666667
2025-12-04T20:03:15.706426,66.01,1.22,110.26,0,94.66666666666667
2025-12-04T20:03:18.726119,55.75,1.44,107.09,0,100
2025-12-04T20:03:21.740795,66.44,0.69,116.88,0,81.33333333333333
2025-12-04T20:03:24.773037,56.73,0.9,95.47,0,100
2025-12-04T20:03:27.802639,37.65,1.82,100.5,0,93.33333333333333
2025-12-04T20:03:30.822932,77.8,1.41,117.55,0,73.33333333333334
2025-12-04T20:03:33.854573,52.84,0.33,104.12,0,100
2025-12-04T20:03:36.909096,60.41,0.75,100.19,0,94.66666666666667
2025-12-04T20:03:39.934643,33.81,1.78,116.96,0,80.0
2025-12-04T20:03:42.965295,41.42,0.32,94.49,0,86.66666666666667
2025-12-04T20:03:45.990105,73.71,1.24,96.33,0,86.66666666666667
2025-12-04T20:03:49.019064,31.41,1.8,109.83,0,93.33333333333333
2025-12-04T20:03:52.085599,79.07,1.29,112.61,0,86.66666666666667
2025-12-04T20:03:55.120233,75.5,1.8,105.43,0,80.0
2025-12-04T20:03:58.134427,47.32,0.31,95.69,0,100
2025-12-04T20:04:01.156105,32.6,0.87,107.93,0,100
2025-12-04T20:04:04.172070,58.3,1.28,110.73,0,100
2025-12-07T14:13:24.572132,51.17,1.71,90.08,1,50.0
2025-12-07T14:13:29.442385,62.79,0.51,116.65,0,81.33333333333333
2025-12-07T14:13:32.460208,53.3,1.81,103.84,0,93.33333333333333
2025-12-07T14:13:35.498908,36.51,0.64,104.15,0,100
2025-12-07T14:13:38.538924,51.79,1.97,116.16,0,80.0
2025-12-07T14:13:41.555263,74.45,1.28,103.74,0,86.66666666666667
2025-12-07T14:15:38.607081,75.33,0.27,114.93,1,56.666666666666664
2025-12-07T14:15:41.652468,32.79,0.96,96.86,0,100
2025-12-07T14:15:44.673364,33.27,1.41,103.58,0,100
2025-12-07T14:34:18.830704,77.42,1.18,100.34,1,56.666666666666664
2025-12-07T14:34:22.049900,64.32,1.89,113.94,1,58.00000000000001
